id,filename,relative_path,containing_directory,current_artist,guessed_artist,confidence,reason,updated
6,04 Girlfriend.m4a,iTunes/'N Sync/Celebrity/04 Girlfriend.m4a,Celebrity,,'N Sync,0.95,artist folder after collection folder: iTunes,yes
7,06 Gone.m4a,iTunes/'N Sync/Celebrity/06 Gone.m4a,Celebrity,,'N Sync,0.95,artist folder after collection folder: iTunes,yes
8,1-01 Keep Ya Head Up.m4a,iTunes/2Pac/2Pac_ Greatest Hits/1-01 Keep Ya Head Up.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
9,1-05 Hail Mary.m4a,iTunes/2Pac/2Pac_ Greatest Hits/1-05 Hail Mary.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
10,1-06 Me Against the World.m4a,iTunes/2Pac/2Pac_ Greatest Hits/1-06 Me Against the World.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
11,1-07 How Do U Want It.m4a,iTunes/2Pac/2Pac_ Greatest Hits/1-07 How Do U Want It.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
12,1-08 So Many Tears.m4a,iTunes/2Pac/2Pac_ Greatest Hits/1-08 So Many Tears.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
13,1-12 Hit 'Em Up.m4a,iTunes/2Pac/2Pac_ Greatest Hits/1-12 Hit 'Em Up.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
14,2-03 I Ain't Mad At Cha.m4a,iTunes/2Pac/2Pac_ Greatest Hits/2-03 I Ain't Mad At Cha.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
15,2-04 I Get Around.m4a,iTunes/2Pac/2Pac_ Greatest Hits/2-04 I Get Around.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
16,2-05 Changes.m4a,iTunes/2Pac/2Pac_ Greatest Hits/2-05 Changes.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
17,2-10 Dear Mama.m4a,iTunes/2Pac/2Pac_ Greatest Hits/2-10 Dear Mama.m4a,2Pac_ Greatest Hits,,2Pac,0.95,artist folder after collection folder: iTunes,yes
22,01 Daydreamer.m4a,iTunes/ADELE/19/01 Daydreamer.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
23,02 Best for Last.m4a,iTunes/ADELE/19/02 Best for Last.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
24,03 Chasing Pavements.m4a,iTunes/ADELE/19/03 Chasing Pavements.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
25,04 Cold Shoulder.m4a,iTunes/ADELE/19/04 Cold Shoulder.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
26,05 Crazy for You.m4a,iTunes/ADELE/19/05 Crazy for You.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
27,06 Melt My Heart to Stone.m4a,iTunes/ADELE/19/06 Melt My Heart to Stone.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
28,07 First Love.m4a,iTunes/ADELE/19/07 First Love.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
29,08 Right as Rain.m4a,iTunes/ADELE/19/08 Right as Rain.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
30,09 Make You Feel My Love.m4a,iTunes/ADELE/19/09 Make You Feel My Love.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
31,10 My Same.m4a,iTunes/ADELE/19/10 My Same.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
32,11 Tired.m4a,iTunes/ADELE/19/11 Tired.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
33,12 Hometown Glory.m4a,iTunes/ADELE/19/12 Hometown Glory.m4a,19,,ADELE,0.95,artist folder after collection folder: iTunes,yes
40,2-05 Dream On.m4a,iTunes/Aerosmith/A Little South Of Sanity (Disc 2)/2-05 Dream On.m4a,A Little South Of Sanity (Disc 2),,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
