file_id,action,reason,duplicate_key,artist,album,title,size_bytes,source_path,keep_path,quarantine_path
3665,keep,largest file in duplicate metadata group,3 doors down | alternative mix | when i'm gone,3 Doors Down,Alternative Mix,When I'm Gone,4072495,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/3 doors down -When I'm Gone.m4a,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/3 doors down -When I'm Gone.m4a,
4008,quarantine,"same metadata artist, album, and title as kept file",3 doors down | alternative mix | when i'm gone,3 Doors Down,Alternative Mix,When I'm Gone,4072495,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/UBFK.m4a,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/3 doors down -When I'm Gone.m4a,/mnt/d/Music/_Duplicate_Quarantine/UBFK.m4a
3776,quarantine,"same metadata artist, album, and title as kept file",3 doors down | seventeen days | behind those eyes,3 Doors Down,Seventeen Days,Behind Those Eyes,4187359,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/NTCK.m4a,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/GEEK.m4a,/mnt/d/Music/_Duplicate_Quarantine/NTCK.m4a
4179,keep,largest file in duplicate metadata group,3 doors down | seventeen days | behind those eyes,3 Doors Down,Seventeen Days,Behind Those Eyes,4187441,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/GEEK.m4a,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/GEEK.m4a,
3775,keep,largest file in duplicate metadata group,3 doors down | seventeen days | here by me,3 Doors Down,Seventeen Days,Here By Me,3699256,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/LYOC.m4a,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/LYOC.m4a,
4187,quarantine,"same metadata artist, album, and title as kept file",3 doors down | seventeen days | here by me,3 Doors Down,Seventeen Days,Here By Me,3699007,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/VKEE.m4a,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/LYOC.m4a,/mnt/d/Music/_Duplicate_Quarantine/VKEE.m4a
3777,quarantine,"same metadata artist, album, and title as kept file",3 doors down | seventeen days | let me go,3 Doors Down,Seventeen Days,Let Me Go,3772130,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/VXCF.m4a,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/WQDM.m4a,/mnt/d/Music/_Duplicate_Quarantine/VXCF.m4a
4188,keep,largest file in duplicate metadata group,3 doors down | seventeen days | let me go,3 Doors Down,Seventeen Days,Let Me Go,3772599,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/WQDM.m4a,/mnt/d/Music/_Sorted_By_Artist/3 Doors Down/WQDM.m4a,
3666,keep,largest file in duplicate metadata group,30 seconds to mars | a beautiful lie | the kill,30 Seconds To Mars,A Beautiful Lie,The Kill,3693448,/mnt/d/Music/_Sorted_By_Artist/30 Seconds To Mars/Thirty secounds to Mars-The Kill.m4a,/mnt/d/Music/_Sorted_By_Artist/30 Seconds To Mars/Thirty secounds to Mars-The Kill.m4a,
3788,quarantine,"same metadata artist, album, and title as kept file",30 seconds to mars | a beautiful lie | the kill,30 Seconds To Mars,A Beautiful Lie,The Kill,3693448,/mnt/d/Music/_Sorted_By_Artist/30 Seconds To Mars/UAWN.m4a,/mnt/d/Music/_Sorted_By_Artist/30 Seconds To Mars/Thirty secounds to Mars-The Kill.m4a,/mnt/d/Music/_Duplicate_Quarantine/UAWN.m4a
3791,keep,largest file in duplicate metadata group,311 | 311 | all mixed up,311,311,All Mixed Up,2964461,/mnt/d/Music/_Sorted_By_Artist/311/LWDX.m4a,/mnt/d/Music/_Sorted_By_Artist/311/LWDX.m4a,
4011,quarantine,"same metadata artist, album, and title as kept file",311 | 311 | all mixed up,311,311,All Mixed Up,2929666,/mnt/d/Music/_Sorted_By_Artist/311/PFZD.m4a,/mnt/d/Music/_Sorted_By_Artist/311/LWDX.m4a,/mnt/d/Music/_Duplicate_Quarantine/PFZD.m4a
2672,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | 3 libras,A Perfect Circle,Mer de Noms,3 Libras,5276611,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/06 - 3 Libras.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/06 - 3 Libras (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/06 - 3 Libras.mp3
3894,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | 3 libras,A Perfect Circle,Mer de Noms,3 Libras,5276611,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/06 - 3 Libras (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/06 - 3 Libras (2).mp3,
2677,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | brena,A Perfect Circle,Mer de Noms,Brena,6351184,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/11 - Brena.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/11 - Brena (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/11 - Brena.mp3
3899,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | brena,A Perfect Circle,Mer de Noms,Brena,6351184,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/11 - Brena (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/11 - Brena (2).mp3,
2670,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | judith,A Perfect Circle,Mer de Noms,Judith,5941167,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/04 - Judith.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/04 - Judith (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/04 - Judith.mp3
3892,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | judith,A Perfect Circle,Mer de Noms,Judith,5941167,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/04 - Judith (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/04 - Judith (2).mp3,
2668,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | magdalena,A Perfect Circle,Mer de Noms,Magdalena,5911868,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/02 - Magdalena.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/02 - Magdalena (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/02 - Magdalena.mp3
3890,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | magdalena,A Perfect Circle,Mer de Noms,Magdalena,5911868,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/02 - Magdalena (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/02 - Magdalena (2).mp3,
2671,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | orestes,A Perfect Circle,Mer de Noms,Orestes,6928135,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/05 - Orestes.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/05 - Orestes (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/05 - Orestes.mp3
3893,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | orestes,A Perfect Circle,Mer de Noms,Orestes,6928135,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/05 - Orestes (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/05 - Orestes (2).mp3,
2678,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | over,A Perfect Circle,Mer de Noms,Over,3395168,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/12 - Over.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/12 - Over (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/12 - Over.mp3
3900,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | over,A Perfect Circle,Mer de Noms,Over,3395168,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/12 - Over (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/12 - Over (2).mp3,
2675,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | renholder,A Perfect Circle,Mer de Noms,Renholder,3471028,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/09 - Renholder.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/09 - Renholder (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/09 - Renholder.mp3
3897,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | renholder,A Perfect Circle,Mer de Noms,Renholder,3471028,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/09 - Renholder (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/09 - Renholder (2).mp3,
