root_path,relative_path,path,parent_path,filename,stem,extension,size_bytes,modified_at,is_audio,artist,album,title,track_number,disc_number,year,suggested_path,suggested_filename,status,notes,confidence
/mnt/d/Music,iTunes/'N Sync/Celebrity/04 Girlfriend.m4a,/mnt/d/Music/iTunes/'N Sync/Celebrity/04 Girlfriend.m4a,/mnt/d/Music/iTunes/'N Sync/Celebrity,04 Girlfriend.m4a,04 Girlfriend,.m4a,4111330,2007-04-23T07:25:34+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/'N Sync/Celebrity/06 Gone.m4a,/mnt/d/Music/iTunes/'N Sync/Celebrity/06 Gone.m4a,/mnt/d/Music/iTunes/'N Sync/Celebrity,06 Gone.m4a,06 Gone,.m4a,4733035,2007-04-23T07:25:56+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/1-01 Keep Ya Head Up.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/1-01 Keep Ya Head Up.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,1-01 Keep Ya Head Up.m4a,1-01 Keep Ya Head Up,.m4a,8918480,2009-09-20T01:22:56+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/1-05 Hail Mary.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/1-05 Hail Mary.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,1-05 Hail Mary.m4a,1-05 Hail Mary,.m4a,10652844,2009-09-20T01:23:38+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/1-06 Me Against the World.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/1-06 Me Against the World.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,1-06 Me Against the World.m4a,1-06 Me Against the World,.m4a,9322847,2009-09-20T01:23:20+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/1-07 How Do U Want It.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/1-07 How Do U Want It.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,1-07 How Do U Want It.m4a,1-07 How Do U Want It,.m4a,9927149,2009-09-20T01:31:20+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/1-08 So Many Tears.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/1-08 So Many Tears.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,1-08 So Many Tears.m4a,1-08 So Many Tears,.m4a,8288528,2009-09-20T01:28:50+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/1-12 Hit 'Em Up.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/1-12 Hit 'Em Up.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,1-12 Hit 'Em Up.m4a,1-12 Hit 'Em Up,.m4a,10449102,2009-09-20T01:30:48+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/2-03 I Ain't Mad At Cha.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/2-03 I Ain't Mad At Cha.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,2-03 I Ain't Mad At Cha.m4a,2-03 I Ain't Mad At Cha,.m4a,9854323,2009-09-20T01:35:52+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/2-04 I Get Around.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/2-04 I Get Around.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,2-04 I Get Around.m4a,2-04 I Get Around,.m4a,8940732,2009-09-20T01:36:22+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/2-05 Changes.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/2-05 Changes.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,2-05 Changes.m4a,2-05 Changes,.m4a,9035848,2009-09-20T01:37:00+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/2Pac/2Pac_ Greatest Hits/2-10 Dear Mama.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits/2-10 Dear Mama.m4a,/mnt/d/Music/iTunes/2Pac/2Pac_ Greatest Hits,2-10 Dear Mama.m4a,2-10 Dear Mama,.m4a,9618766,2009-09-20T01:40:44+00:00,1,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/311/311/01 Down.m4p,/mnt/d/Music/iTunes/311/311/01 Down.m4p,/mnt/d/Music/iTunes/311/311,01 Down.m4p,01 Down,.m4p,2828456,2008-08-09T12:42:54+00:00,0,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/311/From Chaos/10 Amber.m4p,/mnt/d/Music/iTunes/311/From Chaos/10 Amber.m4p,/mnt/d/Music/iTunes/311/From Chaos,10 Amber.m4p,10 Amber,.m4p,3492937,2008-08-09T12:41:52+00:00,0,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/50 Cent/Get Rich or Die Tryin'/14 21 Questions.m4p,/mnt/d/Music/iTunes/50 Cent/Get Rich or Die Tryin'/14 21 Questions.m4p,/mnt/d/Music/iTunes/50 Cent/Get Rich or Die Tryin',14 21 Questions.m4p,14 21 Questions,.m4p,4239501,2005-10-09T18:23:00+00:00,0,,,,,,,,,inventoried,,
/mnt/d/Music,iTunes/69 Boyz/Nineteen Ninety Quad/05 Kitty-Kitty.m4p,/mnt/d/Music/iTunes/69 Boyz/Nineteen Ninety Quad/05 Kitty-Kitty.m4p,/mnt/d/Music/iTunes/69 Boyz/Nineteen Ninety Quad,05 Kitty-Kitty.m4p,05 Kitty-Kitty,.m4p,4285748,2008-02-25T00:57:02+00:00,0,,,,,,,,,inventoried,,
