id,relative_path,filename,containing_directory,folder_artist_guess,tag_artist,tag_album_artist,tag_album,tag_title,tag_track_number,tag_disc_number,tag_year,tag_genre,metadata_status,confidence,reason
6,iTunes/'N Sync/Celebrity/04 Girlfriend.m4a,04 Girlfriend.m4a,Celebrity,'N Sync,'N Sync,,Celebrity,Girlfriend,4/13,1/1,2001,Pop,confirmed,0.98,artist tag matches folder artist guess
7,iTunes/'N Sync/Celebrity/06 Gone.m4a,06 Gone.m4a,Celebrity,'N Sync,'N Sync,,Celebrity,Gone,6/13,1/1,2001,Pop,confirmed,0.98,artist tag matches folder artist guess
8,iTunes/2Pac/2Pac_ Greatest Hits/1-01 Keep Ya Head Up.m4a,1-01 Keep Ya Head Up.m4a,2Pac_ Greatest Hits,2Pac,2Pac,2Pac,2Pac: Greatest Hits,Keep Ya Head Up,1/12,1/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
9,iTunes/2Pac/2Pac_ Greatest Hits/1-05 Hail Mary.m4a,1-05 Hail Mary.m4a,2Pac_ Greatest Hits,2Pac,2Pac,2Pac,2Pac: Greatest Hits,Hail Mary,5/12,1/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
10,iTunes/2Pac/2Pac_ Greatest Hits/1-06 Me Against the World.m4a,1-06 Me Against the World.m4a,2Pac_ Greatest Hits,2Pac,2Pac & Dramacydal,2Pac,2Pac: Greatest Hits,Me Against the World,6/12,1/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
11,iTunes/2Pac/2Pac_ Greatest Hits/1-07 How Do U Want It.m4a,1-07 How Do U Want It.m4a,2Pac_ Greatest Hits,2Pac,2Pac & K-Ci & JoJo,2Pac,2Pac: Greatest Hits,How Do U Want It,7/12,1/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
12,iTunes/2Pac/2Pac_ Greatest Hits/1-08 So Many Tears.m4a,1-08 So Many Tears.m4a,2Pac_ Greatest Hits,2Pac,2Pac,2Pac,2Pac: Greatest Hits,So Many Tears,8/12,1/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
13,iTunes/2Pac/2Pac_ Greatest Hits/1-12 Hit 'Em Up.m4a,1-12 Hit 'Em Up.m4a,2Pac_ Greatest Hits,2Pac,2Pac & The Outlawz,2Pac,2Pac: Greatest Hits,Hit 'Em Up,12/12,1/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
14,iTunes/2Pac/2Pac_ Greatest Hits/2-03 I Ain't Mad At Cha.m4a,2-03 I Ain't Mad At Cha.m4a,2Pac_ Greatest Hits,2Pac,2Pac & Danny Boy,2Pac,2Pac: Greatest Hits,I Ain't Mad At Cha,3/13,2/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
15,iTunes/2Pac/2Pac_ Greatest Hits/2-04 I Get Around.m4a,2-04 I Get Around.m4a,2Pac_ Greatest Hits,2Pac,2Pac,2Pac,2Pac: Greatest Hits,I Get Around,4/13,2/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
