file_id,action,reason,metadata_status,review_status,artist,album,title,source_path,destination_path
6,move,confirmed metadata or accepted review,confirmed,unreviewed,'N Sync,Celebrity,Girlfriend,/mnt/d/Music/iTunes/'N Sync/Celebrity/04 Girlfriend.m4a,/mnt/d/Music/_Sorted_By_Artist/'N Sync/04 Girlfriend.m4a
7,move,confirmed metadata or accepted review,confirmed,unreviewed,'N Sync,Celebrity,Gone,/mnt/d/Music/iTunes/'N Sync/Celebrity/06 Gone.m4a,/mnt/d/Music/_Sorted_By_Artist/'N Sync/06 Gone.m4a
3793,move,confirmed metadata or accepted review,metadata-conflict,accepted_metadata,38 Special,The Very Best of the A&M Years (1977-1988),Hold on loosely,/mnt/d/Music/music/38 Special/Monsters Of Rock (Disc 2)/NOPF.mp3,/mnt/d/Music/_Sorted_By_Artist/38 Special/NOPF.mp3
2559,skip,"not approved for moving: metadata_status=metadata-error, review_status=skipped",metadata-error,skipped,1995 - Orchid,None,None,/mnt/d/Music/just music/music/1995 - Orchid/01 - Opeth - In Mist She Was Standing.m4a,/mnt/d/Music/_Sorted_By_Artist/1995 - Orchid/01 - Opeth - In Mist She Was Standing.m4a
3667,skip,"not approved for moving: metadata_status=metadata-error, review_status=skipped",metadata-error,skipped,1995 - Orchid,None,None,/mnt/d/Music/music/1995 - Orchid/01 - Opeth - In Mist She Was Standing.m4a,/mnt/d/Music/_Sorted_By_Artist/1995 - Orchid/01 - Opeth - In Mist She Was Standing.m4a
2560,skip,"not approved for moving: metadata_status=metadata-error, review_status=skipped",metadata-error,skipped,1995 - Orchid,None,None,/mnt/d/Music/just music/music/1995 - Orchid/02 - Opeth - Under the Weeping Moon.m4a,/mnt/d/Music/_Sorted_By_Artist/1995 - Orchid/02 - Opeth - Under the Weeping Moon.m4a
3668,skip,"not approved for moving: metadata_status=metadata-error, review_status=skipped",metadata-error,skipped,1995 - Orchid,None,None,/mnt/d/Music/music/1995 - Orchid/02 - Opeth - Under the Weeping Moon.m4a,/mnt/d/Music/_Sorted_By_Artist/1995 - Orchid/02 - Opeth - Under the Weeping Moon.m4a
2561,skip,"not approved for moving: metadata_status=metadata-error, review_status=skipped",metadata-error,skipped,1995 - Orchid,None,None,/mnt/d/Music/just music/music/1995 - Orchid/03 - Opeth - Silhouette.m4a,/mnt/d/Music/_Sorted_By_Artist/1995 - Orchid/03 - Opeth - Silhouette.m4a
3669,skip,"not approved for moving: metadata_status=metadata-error, review_status=skipped",metadata-error,skipped,1995 - Orchid,None,None,/mnt/d/Music/music/1995 - Orchid/03 - Opeth - Silhouette.m4a,/mnt/d/Music/_Sorted_By_Artist/1995 - Orchid/03 - Opeth - Silhouette.m4a
2562,skip,"not approved for moving: metadata_status=metadata-error, review_status=skipped",metadata-error,skipped,1995 - Orchid,None,None,/mnt/d/Music/just music/music/1995 - Orchid/04 - Opeth - Forest of October.m4a,/mnt/d/Music/_Sorted_By_Artist/1995 - Orchid/04 - Opeth - Forest of October.m4a
